LOCAL,VISITANTE,FECHA,SEMANA,
20,28,20/11/2016,11,
12,32,20/11/2016,11,
13,24,21/11/2016,11,
,,,,
19,11,24/11/2016,12,
32,9,24/11/2016,12,
26,14,24/11/2016,12,
27,13,27/11/2016,12,
1,2,27/11/2016,12,
7,3,27/11/2016,12,
15,4,27/11/2016,12,
31,6,27/11/2016,12,
17,21,27/11/2016,12,
28,18,27/11/2016,12,
22,8,27/11/2016,12,
29,30,27/11/2016,12,
16,10,27/11/2016,12,
5,24,27/11/2016,12,
20,23,27/11/20161,12,
12,25,28/11/2016,12,
,,,,
9,19,12/01/2016,13,
18,3,12/04/2016,13,
28,6,12/04/2016,13,
16,2,12/04/2016,13,
25,7,12/04/2016,13,
13,12,12/04/2016,13,
10,15,12/04/2016,13,
17,20,12/04/2016,13,
11,21,12/04/2016,13,
4,24,12/04/2016,13,
32,1,12/04/2016,13,
22,26,12/04/2016,13,
30,27,12/04/2016,13,
5,29,12/04/2016,13,
14,23,12/05/2016,13,
,,,,
24,16,12/08/2016,14,
1,18,12/11/2016,14,
32,25,12/11/2016,14,
19,15,12/11/2016,14,
10,31,12/11/2016,14,
21,30,12/11/2016,14,
13,14,12/11/2016,14,
6,11,12/11/2016,14,
7,8,12/11/2016,14,
27,5,12/11/2016,14,
26,4,12/11/2016,14,
23,28,12/11/2016,14,
29,12,12/11/2016,14,
2,17,12/11/2016,14,
9,22,12/11/2016,14,
3,20,12/12/2016,14,
,,,,
17,29,15/12/16,15,
18,23,17/12/16,15,
15,13,18/12/16,15,
31,16,18/12/16,15,
30,9,18/12/16,15,
11,22,18/12/16,15,
14,19,18/12/16,15,
12,6,18/12/16,15,
8,4,18/12/16,15,
25,3,18/12/16,15,
28,2,18/12/16,15,
21,1,18/12/16,15,
24,27,18/12/16,15,
20,10,18/12/16,15,
26,7,18/12/16,15,
5,32,19/12/16,15,
,,,,
22,25,22/12/16,16,
30,21,24/12/16,16,
23,20,24/12/16,16,
27,8,24/12/16,16,
19,12,24/12/16,16,
31,15,24/12/16,16,
32,6,24/12/16,16,
2,5,24/12/16,16,
18,4,24/12/16,16,
14,24,24/12/16,16,
1,29,24/12/16,16,
28,17,24/12/16,16,
7,13,24/12/16,16,
3,26,25/12/16,16,
10,16,25/12/16,16,
11,9,26/12/16,16,
,,,,
21,2,01/01/2016,17,
3,7,01/01/2016,17,
22,32,01/01/2016,17,
13,31,01/01/2016,17,
5,30,01/01/2016,17,
12,11,01/01/2016,17,
15,14,01/01/2016,17,
20,18,01/01/2016,17,
6,19,01/01/2016,17,
4,23,01/01/2016,17,
9,25,01/01/2016,17,
8,26,01/01/2016,17,
1,17,01/01/2016,17,
24,10,01/01/2016,17,
16,27,01/01/2016,17,
29,28,01/01/2016,17,
